geGloss|geSentence|viSentence
SUED NEG SCHLIMM ABER UNTEN BODEN SEE KOMMEN|und in süddeutschland ist das ganze nicht ganz so heftig aber immerhin haben wir jetzt den bodensee überquert es geht auf ulm zu mit dem nächsten gewittern|Và ở miền nam nước Đức, toàn bộ điều này không hoàn toàn bạo lực, nhưng ít nhất chúng ta đã vượt qua hồ Constance trên Ulm với cơn giông bão tiếp theo
BEDEUTEN JETZT DEUTSCH LAND KOMMEN HEUTE NACHT|und die ziehen dann über deutschland hinweg heute nacht|Và sau đó họ di chuyển qua nước Đức tối nay
MORGEN FRUEH KOMMEN OST SCHAUER GEWITTER AUCH ALPEN|und bleiben morgen früh noch ein bisschen hängen am vormittag im osten noch schauer und gewitter auch an den alpen|Và ở lại một chút ở phía đông vào sáng mai và giông bão trên dãy Alps
ABER NACH MITTAG KOMMEN VERSCHWINDEN MEHR FREUNDLICH SONNE DABEI|aber nachmittags wird das ganze dann weggezogen sein es wird freundlicher die sonne kommt raus|Nhưng vào buổi chiều, toàn bộ mọi thứ sẽ bị kéo đi, nó sẽ thân thiện hơn với mặt trời
LUFT MEHR ANGENEHM GRUND WIND KOMMEN MEHR KUEHL|und die luft ist auch angenehm bei dem frischen westwind und vor allen dingen etwas kühler|Và không khí cũng dễ chịu với gió Tây tươi và trên hết là một chút mát mẻ
WEST NUR ZWEI ZWANZIG BIS SECHS ZWANZIG GRAD SUEDWEST BIS DREISSIG GRAD|im westen immerhin sind es nur noch zweiundzwanzig bis sechsundzwanzig im südwesten nochmal bis dreißig grad|Ở phương Tây, sau tất cả, nó chỉ là hai mươi đến hai mươi -six ở phía tây nam của lên đến ba mươi độ
ABER SCHWUEL SONNE NUR OST BIS DREI DREISSIG GRAD|so richtig schwül heiß ist es eigentlich nur noch im osten bis zu dreiunddreißig grad|Nó thực sự rất nóng ở phía đông về phía đông lên đến ba mươi độ
LEIDER SCHON WIEDER STEIGEN HEISS|aber leider es wird ja schon wieder heißer|Nhưng thật không may, nó sẽ nóng hơn trở lại
FREITAG GEWITTER SELTEN SAMSTAG NEU GEWITTER KOMMEN REGEN DABEI|am freitag kaum noch gewitter dann am samstag eine neue gewitterfront mit unwettern|Vào thứ sáu hầu như không có giông bão sau đó vào thứ bảy, một trận bão mới với bão
UND DANN KOMMEN AB JETZT ENTSPANNT SONNE KOENNEN AUSHALTEN|und dahinter kommt die entspannung die ist jetzt wieder aushalten|Và đằng sau nó là sự thư giãn hiện đang đứng lại
WUENSCHEN GUT ABEND MACHEN GUT MITTEILEN|ich wünsche ihnen einen schönen abend und machen sie es gut|Tôi chúc bạn một buổi tối tốt đẹp và làm tốt
WETTER AUFTAUCHEN HOCHWASSER EIS UND SCHNEE|tauwetter hochwasser eis und schnee|Lũ lụt và tuyết
WINTER IM MOMENT EINIGE ALLE DABEI|der winter zieht derzeit wirklich alle register|Mùa đông hiện đang thực sự kéo tất cả các điểm dừng
JETZT SCHOEN GUT ABEND DAMEN UND HERREN BEGRUESSEN|und damit schönen guten abend meine damen und herren|Và những người phụ nữ và quý ông tốt lành
UND STRASSE BISSCHEN GEFAHR JETZT ABEND AUCH BESONDERS GEFAHR WO MEISTENS FLUSS FERZ BERG|und es bleibt kritisch auf den straßen auch in dieser nacht besonders kritisch in diesem streifen von der mosel über franken bis ins erzgebirge|Và nó vẫn còn chỉ trích các đường phố trên đường phố đêm đó ở dải này từ Moselle đến Franconia đến dãy núi Ore
ZONE HABEN GEFAHR EIS REGEN TEMPERATUR NOCH WAHRSCHEINLICH NULL GRAD ZWISCHEN|überall dort kann es nämlich ganz gefährlichen eisregen geben denn dort liegen die temperaturen noch so um den gefrierpunkt|Có thể có mưa băng rất nguy hiểm ở khắp mọi nơi vì có nhiệt độ vẫn còn quanh điểm đóng băng
MEHR SUED EIS REGEN MILD TEMPERATUR DREI VIER GRAD NACHT REGION UNGEFAEHR|weiter im süden ist es für eisregen schon zu mild mit temperaturen von drei vier grad in dieser nacht|Hơn nữa ở miền Nam, nó đã quá nhẹ cho mưa băng với nhiệt độ ba bốn độ đêm đó
ABER VERMEIDEN WENN EIS REGEN KOENNEN HINDERNIS|es gibt aber kein halten mehr wenn erstmal eisregen fällt|Nhưng không có điểm dừng nếu có mưa trong băng
MEISTENS DEUTSCHLAND MITTE REGION HAUPTSAECHLICH|und das wird eben vor allen dingen in der mitte deutschlands der fall sein|Và điều đó sẽ trên hết là ở giữa Đức
SCHNEE REGEN EIN PAAR OST ABER PAUSE NUR KURZ|schnee und regen ziehen dann morgen über tag erstmal nach osten ab aber die pause ist wirklich nur kurz|Tuyết và mưa sau đó mang về phía đông về phía đông vào ngày mai, nhưng giờ nghỉ thực sự chỉ là ngắn gọn
JETZT SUEDWEST MEHR SCHNEE REGEN KOMMEN HOCHWASSER FLUSS MOEGLICH STEIGEN|denn schon bald kommen von südwesten neue schnee und regenfälle auf und dann steigt die hochwassergefahr in kleinen bächen und flüssen|Bởi vì chẳng mấy chốc tuyết và mưa mới xuất phát từ Tây Nam và sau đó nguy cơ lũ lụt tăng lên ở những dòng suối và sông nhỏ
NORD DEUTSCHLAND SCHOEN WETTER SONNE WOLKE WECHSELHAFT TEMPERATUR UNGEFAEHR NULL|in norddeutschland gibt es morgen einen freundlichen wechsel aus sonne und wolken bei temperaturen so etwa um den gefrierpunkt|Ở miền bắc nước Đức sẽ có một sự thay đổi thân thiện từ mặt trời và những đám mây ở nhiệt độ vào ngày mai xung quanh điểm đóng băng
ZWISCHEN ABER MILD NAH ALPEN PUNKT TEMPERATUR KOENNEN BIS MAXIMAL ACHT TAG GRAD TEMPERATUR KOENNEN|mild wird es dagegen am alpenrand da steigen die temperaturen bis acht grad|Mặt khác, nhẹ, nó nằm trên mép của dãy Alps. Nhiệt độ tăng lên đến tám độ
ABER MEHR WARM MITTWOCH NAH ALPEN BIS ZEHN GRAD HOCHWASSER GEFAHR MEHR|und noch wärmer wird es dann am mittwoch am alpenrand da geht es ja bis zehn grad rauf und die hochwassergefahr steigt|Và sau đó nó thậm chí còn ấm hơn vào thứ Tư trên rìa của dãy Alps.
ABER WIND UM MEHR KALT|danach aber dreht der wind und es wird wieder kälter|Nhưng sau đó gió quay và nó trở nên lạnh hơn
KOMMEN BIS ALPEN DANN ANFANG WIEDER NEG REGEN UM SCHNEE SCHEINEN|die kälte flutet bis zu den alpen und dann geht der regen wieder in schnee über|Lũ lụt lạnh đến dãy Alps và sau đó mưa trở lại vào tuyết
SCHOEN ABEND WUENSCHEN|schönen abend noch|Chúc một buổi tối vui vẻ
JETZT WETTER MORGEN MONTAG NEUNZEHN JULI|und nun die wettervorhersage für morgen montag den neunzehnten juli|Và bây giờ dự báo thời tiết cho ngày mai thứ Hai, ngày mười chín tháng 7
DEUTSCHLAND REGION JETZT WOCHE IN KOMMEND NOCH HOCH DRUCK|deutschland liegt in der neuen woche unter hochdruckeinfluss|Đức chịu áp lực cao trong tuần mới
ES BEDEUTET IN KOMMEND NOCH SONNE HEISS|meist scheint in den nächsten tagen die sonne und es wird wieder heiß|Thường thì mặt trời chiếu sáng trong vài ngày tới và trời trở lại nóng
DAZU MITTWOCH SUED AUCH LUFT HEISS KOMMEN FEUCHT MOEGLICH RISIKO HOCH GEWITTER|außerdem fließt ab mittwoch feucht heiße luft aus süden zu uns und das gewitterrisiko steigt wieder|Ngoài ra, không khí nóng ẩm từ phía nam chảy đến chúng tôi vào thứ Tư và cơn giông đang tăng trở lại
HEUTE NACHT ALPEN NOCH REGEN MOEGLICH REGION UEBERWIEGEND KLAR|zu beginn der nacht sind am alpenrand noch vereinzelt schauer möglich sonst ist der himmel verbreitet klar|Vào đầu đêm, những cơn mưa rào thỉnh thoảng có thể ở rìa của dãy Alps
HIMMEL NORDWEST WOLKE KOMMEN KOENNEN|im nordwesten ziehen auch mal ein paar wolken vorüber|Ở Tây Bắc cũng có một vài đám mây
TAG SONNE WOLKE WENIG MOEGLICH KUESTE MEHR WOLKE REGION TROCKEN REGEN KEIN|am tag ist es meist sonnig oder nur leicht bewölkt in küstennähe können die wolken auch mal dichter sein aber es bleibt überall trocken|Vào ban ngày, nó thường nắng hoặc chỉ hơi nhiều mây gần bờ biển, những đám mây đôi khi có thể dày hơn nhưng nó vẫn khô ở khắp mọi nơi
WIND SCHWACH MAESSIG WEHEN NEG KLAR WOHER|es weht ein schwacher bis mäßiger wind der in der südhälfte aus östlichen sonst aus unterschiedlichen richtungen kommt|Có một cơn gió yếu đến trung bình đến từ nửa phía đông của nửa phía đông từ các hướng khác nhau
NACHT ZEHN BIS SECHSZEHN GRAD MITTE BERG ZEHN GRAD UNTER|in der nacht zehn bis sechzehn grad in einigen mittelgebirgstälern nur einstellige werte|Trong đêm mười đến mười sáu độ trong một số thung lũng núi thấp, chỉ có giá trị chữ số đơn lẻ
NORDWEST MORGEN DREI ZWANZIG GRAD FLUSS BIS EINS DREISSIG GRAD|an der nordfriesischen küste morgen dreiundzwanzig am niederrhein bis einunddreißig grad|Trên bờ biển phía bắc Frisian vào ngày mai hai mươi -ở Lower Rhine đến ba mươi độ
DIENSTAG UEBERWIEGEND SONNE ALPEN NAH MOEGLICH GEWITTER GRUND WARM|auch am dienstag scheint meist die sonne in alpennähe können sich einzelne wärmegewitter entwickeln|Vào thứ ba cũng vậy, mặt trời thường có vẻ gần dãy Alps
AUCH MITTWOCH HEISS VIEL SONNE ABEND WEST MEHR REGEN SCHAUER GEWITTER AUCH DONNERSTAG KOMMEN AUCH REGEN|sonnig und heiß auch der mittwoch gegen abend im westen vermehrt schauer und gewitter die sich am donnerstag weiter ausbreiten|Nắng và nóng quá, tối thứ Tư ở phương Tây ngày càng mưa và giông lan rộng hơn vào thứ năm
WETTER MORGEN DONNERSTAG ZWEI ZWANZIG APRIL WIE AUSSEHEN ZEIGEN BILDSCHIRM|und die wettervorhersage für morgen donnerstag den zweiundzwanzigsten april|Và dự báo thời tiết cho ngày mai thứ Năm ngày hai mươi tháng tư
MORGEN KUEHL LUFT KALTFRONT|auch morgen fließt noch sehr kühle luft nach deutschland|Ngay cả ngày mai, không khí rất mát đến Đức
NACHT HIMMEL STERN SEHEN DESHALB FROST NACHT KLAR|in den nächten muss unter klarem himmel weiterhin mit frost gerechnet werden|Trong đêm, Frost phải tiếp tục được mong đợi dưới bầu trời rõ ràng
HOCH ES BEDEUTET FREUNDLICH TEMPERATUR STEIGEN|tagsüber sorgt das hoch aber verbreitet für freundliches wetter und steigende temperaturen|Vào ban ngày, cao nhưng lan rộng cho thời tiết thân thiện và nhiệt độ tăng
SPAETER AUFLOCKERUNG SONNE HABEN FREUNDLICH MORGEN AUCH FREUNDLICH SONNE VIEL|später klart es verbreitet auf und morgen wird es recht freundlich mit viel sonnenschein|Sau này nó dọn dẹp và ngày mai nó sẽ rất thân thiện với nhiều ánh nắng
SUED LOCKER WOLKE NORD BEWOELKT NUR TEILWEISE REGEN|im südwesten tauchen ein paar lockere wolken auf im nordosten quellwolken die aber nur vereinzelt schauer bringen|Ở phía tây nam, một vài đám mây lỏng lẻo xuất hiện trên những đám mây mùa đông Đông Bắc chỉ thỉnh thoảng mang theo vòi hoa sen
WIND WEHEN SCHWACH MAESSIG WEHEN|schwacher bis mäßiger wind der im südwesten aus nordost im nordosten aus west kommt|Gió yếu đến trung bình đến từ phía đông bắc ở phía tây nam của phía tây ở phía đông bắc
ABEND MITTE MINUS FUENF GRAD NORD PLUS FUENF GRAD|in der mitte heute nacht bis minus fünf grad an der nordsee plus vier grad|Ở giữa tối nay đến trừ năm độ trên Biển Bắc cộng với bốn độ
IN KOMMEND NACHT KOENNEN FROST|auch in den kommenden nächten kann es teilweise noch frostig werden|Ngay cả trong những đêm tới, nó vẫn có thể băng giá
FREITAG NORD WECHSELHAFT WETTER REGION IN KOMMEND VIEL SONNE|am freitag an den küsten noch leicht unbeständig sonst scheint in den nächsten tagen unter hochdruckeinfluss verbreitet die sonne und es wird deutlich wärmer|Vào thứ Sáu trên bờ biển vẫn hơi không nhất quán, nếu không thì mặt trời sẽ được lan truyền dưới áp lực cao trong vài ngày tới và nó sẽ ấm hơn đáng kể
UND MEHR WARM SONNTAG BIS FUENF ZWANZIG GRAD|am sonntag bis fünfundzwanzig grad|vào Chủ nhật đến hai mươi độ
GUT ABEND LIEB ZUSCHAUER BEGRUESSEN|guten abend liebe zuschauer|Chào buổi tối khán giả thân yêu
SUEDWEST WARM KOMMEN ZONE REGEN KOMMEN|da schiebt sich schon wieder warmluft aus dem südwesten nach deutschland rein hinter diesem regengebiet|Không khí ấm áp từ Tây Nam đến Đức đẩy vào Đức phía sau khu vực mưa này một lần nữa
DANN PUNKT KALT KOMMEN|und das trifft dann auf die kalte luft über norddeutschland|Và điều đó sau đó lên không khí lạnh trên miền bắc nước Đức
DANN MEHR SCHNEE|da wird heute nacht mehr schnee draus|Sẽ có nhiều tuyết hơn tối nay
DANN WARM LUFT NORD REGION ES BEDEUTET REGEN GLATT|danach kommt die warme luft auch nach norddeutschland und das bedeutet eben unter umständen glatteisregen|Sau đó, không khí ấm áp cũng đến miền bắc nước Đức và điều đó có nghĩa là mưa
PUNKT FROST BIS MINUS FUENF GRAD|denn wir haben den frost dort heute nacht bis zu minus fünf grad|Bởi vì chúng tôi có sương giá lên đến trừ năm độ ở đó tối nay
REGION WEST JETZT MILD ALPEN EINIGERMASSEN GLATT FROST NEG HABEN NUR BODEN BIS NULL GRAD HAELFTE ES GIBT KLAR STERN KOENNEN SEHEN|milder bleibt es im westen auch am alpenrand haben wir wohl keinen frost in dieser nacht höchstens mal einen bodenfrost bis null grad denn teilweise gibt es dort den klaren himmel|Nó vẫn nhẹ hơn ở phía tây ngay cả ở rìa dãy Alps, có lẽ chúng ta không có sương giá đêm đó một băng giá mặt đất đến 0 độ vì đôi khi có bầu trời rõ ràng ở đó
SONST REGION MITTE REGEN LANGSAM AUFZIEHEN SCHNEE WEITER BISSCHEN|ansonsten aber regnet es in der mitte und dieses regengebiet zieht langsam weiter nach norden da schneit es also leicht weiter vor sich hin|Nếu không thì trời mưa ở giữa và khu vực mưa này từ từ di chuyển xa hơn về phía bắc vì nó tuyết rơi xuống
DANN SPAETER FRUEH MORGENS GLATT REGEN KOENNEN REGEN FROST GLATT|und später kann es dann in den frühen morgenstunden auch glatteisregen geben wenn der regen auf den gefrorenen boden fällt|Và sau đó cũng có thể có mưa đá đen vào đầu giờ sáng khi mưa rơi trên đất đông lạnh
FREUNDLICH SONNE SUED REGION TEILWEISE SONNE DABEI BESONDERS ALPEN NUR BAYERN|freundlich wird es wohl in süddeutschland da scheint zeitweise die sonne vor allen dingen am alpenrand und in bayern|Nó trở nên thân thiện ở miền nam nước Đức, mặt trời dường như ở những thời điểm trên tất cả trên rìa núi cao và ở Bavaria
NORD WENIG ZWISCHEN NULL REGION NEUN BIS DREIZEHN GRAD|und die temperatur trotzdem noch im norden am niedrigsten wenig über null grad sonst am rhein vor allen dingen neun bis dreizehn grad|Và nhiệt độ ở phía bắc vẫn là thấp nhất một chút trên 0 độ trên sông Rhine, đặc biệt là chín đến mười ba độ
WEITER ABER NASS REGEN VIEL|ganz ähnlich geht es weiter allerdings in den nächsten tagen ziemlich nass überall regnet es mal|Nó tiếp tục rất giống nhau, nhưng trong vài ngày tới, trời mưa khá ẩm ướt ở khắp mọi nơi
UND DANN SAMSTAG SCHNEE ES GIBT|und am samstag gibt es sogar wieder schneeregen|Và vào thứ bảy thậm chí còn có tuyết trở lại
SCHOEN ABEND MACHEN GUT WUENSCHEN|ich wünsche ihnen noch einen schönen abend und machen sie es gut|Tôi chúc bạn một buổi tối tốt đẹp và làm tốt
HOCH OST EUROPA ZONE TIEF LUFT DRUCK EIN PAAR-TAGE WECHSELHAFT KOMMEN|zwischen einem hoch über osteuropa und dem azorenhoch liegt eine zone tiefen luftdrucks die uns auch in den nächsten tagen wechselhaftes wetter beschert|Giữa một mức cao trên Đông Âu và Azores cao, có một vùng áp suất không khí sâu cũng mang lại cho chúng ta thời tiết có thể thay đổi trong vài ngày tới
DESHALB JAHR KUEHL DARUM|dabei bleibt es für die jahreszeit etwas zu kühl|Nó vẫn còn hơi tuyệt vời cho mùa giải
NACHT ANFANG SCHAUER GEWITTER KOMMEN|zu beginn der nacht sind doch kräftige schauer und gewitter unterwegs die sich nach süden zurückziehen|Vào đầu đêm, vòi hoa sen và giông bão mạnh mẽ đang trên đường về phía nam
EINIGE STELLENWEISE AUFLOCKERUNG TEIL NEBEL|in einigen regionen lockert es auf stellenweise bildet sich nebel|Ở một số vùng, nó lỏng lẻo ở những nơi
MORGEN MISCHUNG SONNE WOLKE TEIL SCHAUER GEWITTER|morgen erwartet uns eine mischung aus sonne und wolken gebietsweise entwickeln sich einige schauer und gewitter|Ngày mai, một sự pha trộn của mặt trời đang chờ chúng ta và những đám mây sẽ phát triển một số cơn mưa rào và giông bão
BESONDERS FREUNDLICH OST UND KUESTE|am freundlichsten wird es im nordosten sowie in küstennähe|Nó là thân thiện nhất ở phía đông bắc và gần bờ biển
NORD SCHWACH MAESSIG LUFT WEHEN|schwacher vor allem an der nordsee zeitweise mäßiger mitunter auch frischer wind aus west bis nordwest|Fantry, đặc biệt là trên Biển Bắc, đôi khi gió vừa phải cũng mới từ Tây sang Tây Bắc
REGION ACHT NORD FUENFZEHN|im vogtland heute nacht acht an der nordsee bis fünfzehn grad|Ở Vogtland Eight tối nay tại Biển Bắc lên đến mười lăm độ
MORGEN TEMPERATUR ACHTZEHN ALLGAEU SIEBEN ZWANZIG REGION|morgen reichen die temperaturen von achtzehn grad im allgäu bis siebenundzwanzig grad an der spree|Ngày mai, nhiệt độ mười tám độ trong Allgäu đến hai mươi độ trên phạm vi Spree
JETZT WETTER WIE AUSSEHEN MORGEN FREITAG SIEBZEHN SEPTEMBER|und nun die wettervorhersage für morgen freitag den siebzehnten september|Và bây giờ dự báo thời tiết cho ngày mai thứ sáu tháng 9
SKANDINAVIEN PUNKT TIEF REGION DEUTSCH KOMMEN KUEHL|das tief über skandinavien sorgt bei uns in deutschland für relativ kühles durchwachsenes wetter|Sự sâu sắc trên Scandinavia đảm bảo thời tiết hỗn hợp tương đối mát mẻ ở Đức
TAG MAL SONNE MEISTENS WOLKE SUEDWEST MEHR FREUNDLICH SONNE PUNKT|am tag mal sonne mal dichtere wolken wobei es im südwesten am freundlichsten wird|Vào ban ngày, mặt trời một lần nữa những đám mây dày đặc hơn, mặc dù nó là thân thiện nhất ở Tây Nam
ALPEN WAHRSCHEINLICH REGEN SUED SCHAUER NORD SCHAUER KURZ GEWITTER|an den alpen fällt hier und da noch regen in der südhälfte einzelne schauer in der nordhälfte einige schauer und kurze gewitter|Trên dãy Alps ở đây và vì vẫn còn mưa ở nửa phía nam của vòi hoa sen ở nửa phía bắc
WIND SCHWACH MAESSIG PUNKT WEHEN FRISCH STURM PUNKT AUCH STURM WIRBEL MOEGLICH|der wind weht schwach bis mäßig im norden weht er frisch mit starken bis stürmischen böen an der see einzelne sturmböen|Gió thổi yếu đến mức vừa phải ở phía bắc, nó thổi bay những cơn gió mạnh trên hồ, những cơn gió cá nhân
SAMSTAG NORD SCHAUER KUESTE VIEL WIND SONST REGION FREUNDLICH SONNE ALPEN BISSCHEN TROPFEN REGEN|am samstag in der nordhälfte einzelne schauer an den küsten viel wind sonst ist es freundlich nur an den alpen regnet es vereinzelt|Vào thứ bảy ở nửa phía bắc, vòi hoa sen trên bờ biển rất nhiều gió nếu không nó chỉ thân thiện trên dãy Alp
MONTAG SUED VIEL SONNE SONST SONNE WOLKE SCHAUER|am montag scheint im süden oft die sonne sonst sonne wolken und einzelne schauer|Vào thứ Hai, mặt trời thường chiếu sáng ở miền Nam, nếu không thì những đám mây mặt trời và vòi hoa sen riêng lẻ
JETZT MORGEN WIE WETTER WIE AUSSEHEN DONNERSTAG ERSTE DEZEMBER|und nun die wettervorhersage für morgen donnerstag den ersten dezember|Và bây giờ dự báo thời tiết cho ngày mai thứ Năm
DEUTSCH NORD WEST MORGEN TIEF KOMMEN|die nordwesthälfte deutschlands wird morgen beeinflusst von einem tiefdrucksystem das sich vom atlantik bis nach nordeuropa erstreckt|Nửa phía tây bắc của Đức sẽ bị ảnh hưởng vào ngày mai bởi một hệ thống áp suất thấp kéo dài từ Đại Tây Dương đến Bắc Âu
FRUEH DANN PUNKT REGEN SCHON ANFANG|in der früh fallen im nordwesten erste tropfen|Những giọt đầu tiên rơi ở Tây Bắc vào buổi sáng
TAG TAGSUEBER PUNKT REGEN KOMMEN REGION MUESSEN LANG TRUEB BLEIBEN|am tag regnet es in der nordwesthälfte ab und an richtung südosten ist es stellenweise für längere zeit trüb|Vào ban ngày trời mưa ở nửa phía tây bắc của Tây Bắc và về phía đông nam, trời nhiều mây
SONST PUNKT SONNE WOLKE BESONDERS FREUNDLICH NAH BERG|sonst sonne und wolken am freundlichsten wird es an den alpen|Nếu không thì mặt trời và mây, nó sẽ thân thiện nhất trên dãy Alps
WEHEN MAESSIG FRISCH WEHEN NORD BERG STURM KOENNEN WEHEN FLACH UND SCHWACH|mäßiger bis frischer wind mit starken in der nordwesthälfte stürmischen böen an den küsten und auf den bergen sturmböen im südosten im flachland teilweise nur schwacher wind|vừa phải đến gió mới với những cơn gió mạnh trên bờ biển và cơn bão ở nửa phía tây bắc của những cơn gió Tây Bắc ở phía đông nam ở vùng đất thấp
HEUTE NACHT SECHS GRAD NORD UND MINUS DREI SUEDOST|heute nacht sechs grad an der nordsee und minus drei grad im südosten|Tối nay sáu độ trên Biển Bắc và trừ ba độ ở Đông Nam
FREITAG INSGESAMT WECHSELHAFT WETTER|am freitag insgesamt wechselhaftes wetter|Vào thứ sáu thời tiết thay đổi tổng thể
JETZT INFORMIEREN WETTER WIE AUSSEHEN DONNERSTAG ELF AUGUST|und nun die wettervorhersage für morgen donnerstag den elften august|Và bây giờ dự báo thời tiết cho ngày mai thứ Năm ngày thứ mười một
DEUTSCH LAND PUNKT NORD REGION KOMMEN TIEF KOMMEN MEISTENS WOLKE REGEN|der nordhälfte deutschlands bringt ein atlantischer tiefausläufer viele wolken und zum teil länger anhaltenden regen|Nửa phía bắc của Đức mang đến một cuộc chạy sâu Đại Tây Dương -xuống nhiều đám mây và đôi khi là mưa lớn
SUED HOCH DRUCK FREUNDLICH REGION ZWISCHEN MEHR WARM|richtung süden sorgt hochdruckeinfluss für recht freundliches wetter dazwischen fließt etwas wärmere luft heran|Về phía nam, ảnh hưởng cao áp đảm bảo thời tiết khá thân thiện ở giữa, một số không khí ấm hơn
NORD HEUTE VERBREITEN REGEN SUED KAUM WOLKE MOND STERN KOENNEN SEHEN|im norden fällt heute nacht verbreitet regen im süden gibt es nur wenige wolken sodass sich mond und sterne auch längere zeit blicken lassen|Ở phía bắc có một cơn mưa chung ở miền Nam, chỉ có một vài đám mây để mặt trăng và các ngôi sao cũng có thể được nhìn thấy trong một thời gian dài
MORGEN DANN NORD REGEN STARK MITTE MAL SONNE WOLKE MANCHMAL REGEN|auch morgen regnet es im norden weiter teilweise ergiebig in der mitte mal sonne mal wolken hier und da fällt regen|Ngay cả ngày mai trời mưa ở phía bắc, một phần ở giữa mặt trời, và có mưa.
SUED FREUNDLICH BLEIBEN TROCKEN|im süden wird es recht freundlich und es bleibt trocken|Nó khá thân thiện ở miền Nam và nó vẫn khô
WIND PUNKT WEHEN SCHWACH MAESSIG NORDWEST FRISCH|der südwestwind weht schwach bis mäßig im nordwesten teilweise frisch|Gió Tây Nam thổi yếu đến vừa phải ở Tây Bắc một phần mới
PUNKT NORDWEST AUCH BERG STARK STURM MOEGLICH|dort und im bergland auch starke bis stürmische böen|Ở đó và ở đất nước miền núi cũng mạnh mẽ đến cơn bão cơn bão
JETZT WETTER VORAUS INFORMIEREN MORGEN FREITAG ACHTZEHN FEBRUAR|und nun die wettervorhersage für morgen freitag den achtzehnten februar|Và bây giờ dự báo thời tiết cho ngày mai thứ Sáu, thứ mười tám tháng Hai
ABER KALT LUFT VON NORDOST MEHR SUEDWEST WEHEN KOMMEN|dabei breitet sich die kalte luft aus dem nordosten auch in den südwesten deutschlands aus|Không khí lạnh từ Đông Bắc cũng lan ra phía tây nam của Đức
MEHR WEST REGION MOEGLICH BISSCHEN SCHNEE|die sonne zeigt sich nur selten am ehesten im westen hier und da rieselt ein wenig schnee|Mặt trời hiếm khi xuất hiện ở đây và có một chút tuyết ở phương Tây và ở đó
SUED REGION SUEDWEST BISSCHEN REGEN NEG MEISTENS NEG REGION NEG TROCKEN|in der südwesthälfte ist gebietsweise auch etwas nieselregen dabei aber meist bleibt es trocken|Ở nửa phía tây nam cũng có một số mưa phùn một phần
SCHWACH WEHEN NORD MAESSIG KUESTE FRISCH WEHEN NORDOST WEHEN|schwacher im norden zum teil mäßiger an der küste ab und zu frischer wind aus nord bis ost|yếu ở phía bắc, đôi khi vừa phải trên bờ biển và một cơn gió mới từ bắc sang đông
FLUSS PLUS ZWEI SONST NEG REGION UNGEFAEHR NULL ODER UNTER LEICHT FROST|am oberrhein heute nacht plus zwei grad sonst überall werte um den gefrierpunkt oder leichter frost|Ở Thượng Rhine tối nay cộng với hai độ ở bất cứ nơi nào khác ở khắp mọi nơi xung quanh đóng băng hoặc sương giá nhẹ
WEST SUEDWEST PLUS SIEBEN NORDOST MINUS ZWEI GRAD|im westen und südwesten morgen bis plus sieben im nordosten minus zwei grad|ở phía tây và tây nam ngày mai để cộng bảy ở phía đông bắc trừ hai độ
SAMSTAG AUCH STARK WOLKE ODER NEBEL|auch am samstag überwiegend stark bewölkt oder neblig trüb|Cũng chủ yếu là mây hoặc sương mù vào thứ bảy
SONNTAG PUNKT MOEGLICH REGION REGEN SCHNEE SONST TROCKEN WOLKE SONNE NEBEL|ab sonntag im westen und süden gebietsweise regen oder schnee sonst eine trockene mischung aus wolken nebel und sonne|Từ Chủ nhật ở phía tây và phía nam của mưa hoặc tuyết nếu không thì sự pha trộn khô của sương mù và mặt trời
JETZT WETTER VORAUS INFORMIEREN MORGEN FREITAG FUENF ZWANZIG JANUAR|und nun die wettervorhersage für morgen freitag den fünfundzwanzigsten januar|Và bây giờ dự báo thời tiết cho ngày mai thứ Sáu
REST WOLKE PUNKT MEHR STERN KOENNEN SEHEN KLAR HIMMEL ABER NORD BISSCHEN NEBEL MOEGLICH|sonst zeigen sich neben wolkenfeldern gebietsweise die sterne vor allem im norden wo sich örtlich nebel bilden kann|Nếu không, ngoài các trường đám mây, các ngôi sao được thể hiện ở phía bắc nơi có thể có sương mù địa phương
SUEDOST UEBERWIEGEND WOLKE BISSCHEN SCHNEE REST REGION TEIL SONNE TEIL WOLKE BESONDERS NORD|im südosten am tag meist wolkenverhangen und stellenweise leichter schneefall im übrigen land teils dichte wolken teils sonne besonders im norden|Ở phía đông nam của ngày chủ yếu bị che mờ và ở những nơi có tuyết rơi nhẹ ở phần còn lại của đất nước, một phần những đám mây dày đặc một phần, đặc biệt là ở phía bắc
SCHWACH WIND SCHWACH WEHEN NORD NORDOST|der wind weht überwiegend schwach im norden teilweise mäßig aus nordost bis ost in küstennähe aus süd|Gió chủ yếu là yếu ở phía bắc, đôi khi vừa phải từ phía đông bắc đến phía đông gần bờ biển từ phía nam
REGION AUCH MINUS DREI GRAD MORGEN MINUS EIN OST MINUS ACHT GRAD|dort morgen minus ein im osten bis minus acht grad|Có ngày mai trừ một ở phía đông đến trừ tám độ
SAMSTAG SONNTAG SAMSTAG SONNE WOLKE WECHSELHAFT WEST BISSCHEN SCHNEE PUNKT|am samstag mal sonne mal wolken und im westen gelegentlich etwas schnee|Vào thứ bảy, mặt trời và đôi khi một số tuyết ở phương Tây
